Date,CVC
6/16/18,1099.00
6/17/18,663.78
6/20/18,183.80
6/22/18,615.78
6/23/18,915.77
6/24/18,565.00
6/26/18,171.80
6/30/18,759.78
7/1/18,291.79
7/4/18,663.57
7/5/18,323.98
7/6/18,787.00
7/7/18,989.02
7/8/18,507.78
7/12/18,231.79
7/14/18,976.00
7/15/18,456.04
7/17/18,175.00
7/21/18,743.75
7/22/18,169.00
7/23/18,207.79
7/27/18,411.79
7/28/18,519.00
7/29/18,399.44
8/3/18,183.80
8/4/18,732.00
8/5/18,441.89
8/7/18,79.00
8/11/18,635.27
8/12/18,154.00
8/13/18,87.80
8/16/18,72.00
8/18/18,346.00
8/19/18,303.79
8/25/18,391.00
8/26/18,121.16
9/1/18,414.09
9/2/18,452.83
9/3/18,91.20
9/7/18,151.37
9/8/18,272.00
9/9/18,99.00